=== RUN   TestToImageBuffer
index=0, i=0, bytesBufferPos=0 buffer[bytesBufferPos]=0, mask=128, imageByte=255, imageBits=1 
index=0, i=1, bytesBufferPos=16 buffer[bytesBufferPos]=0, mask=64, imageByte=255, imageBits=1 
index=0, i=2, bytesBufferPos=32 buffer[bytesBufferPos]=0, mask=32, imageByte=255, imageBits=1 
index=0, i=3, bytesBufferPos=48 buffer[bytesBufferPos]=0, mask=16, imageByte=255, imageBits=1 
index=0, i=4, bytesBufferPos=64 buffer[bytesBufferPos]=0, mask=8, imageByte=255, imageBits=1 
index=0, i=5, bytesBufferPos=80 buffer[bytesBufferPos]=0, mask=4, imageByte=255, imageBits=1 
index=0, i=6, bytesBufferPos=96 buffer[bytesBufferPos]=0, mask=2, imageByte=255, imageBits=1 
index=0, i=7, bytesBufferPos=112 buffer[bytesBufferPos]=0, mask=1, imageByte=255, imageBits=1 
index=1, i=0, bytesBufferPos=0 buffer[bytesBufferPos]=1, mask=128, imageByte=0, imageBits=0 
index=1, i=1, bytesBufferPos=16 buffer[bytesBufferPos]=1, mask=64, imageByte=0, imageBits=0 
index=1, i=2, bytesBufferPos=32 buffer[bytesBufferPos]=1, mask=32, imageByte=0, imageBits=0 
index=1, i=3, bytesBufferPos=48 buffer[bytesBufferPos]=1, mask=16, imageByte=0, imageBits=0 
index=1, i=4, bytesBufferPos=64 buffer[bytesBufferPos]=1, mask=8, imageByte=0, imageBits=0 
index=1, i=5, bytesBufferPos=80 buffer[bytesBufferPos]=1, mask=4, imageByte=0, imageBits=0 
index=1, i=6, bytesBufferPos=96 buffer[bytesBufferPos]=1, mask=2, imageByte=0, imageBits=0 
index=1, i=7, bytesBufferPos=112 buffer[bytesBufferPos]=1, mask=1, imageByte=0, imageBits=0 
index=2, i=0, bytesBufferPos=0 buffer[bytesBufferPos]=1, mask=128, imageByte=255, imageBits=4 
index=2, i=1, bytesBufferPos=16 buffer[bytesBufferPos]=1, mask=64, imageByte=255, imageBits=4 
index=2, i=2, bytesBufferPos=32 buffer[bytesBufferPos]=1, mask=32, imageByte=255, imageBits=4 
index=2, i=3, bytesBufferPos=48 buffer[bytesBufferPos]=1, mask=16, imageByte=255, imageBits=4 
index=2, i=4, bytesBufferPos=64 buffer[bytesBufferPos]=1, mask=8, imageByte=255, imageBits=4 
index=2, i=5, bytesBufferPos=80 buffer[bytesBufferPos]=1, mask=4, imageByte=255, imageBits=4 
index=2, i=6, bytesBufferPos=96 buffer[bytesBufferPos]=1, mask=2, imageByte=255, imageBits=4 
index=2, i=7, bytesBufferPos=112 buffer[bytesBufferPos]=1, mask=1, imageByte=255, imageBits=4 
